date,"Austria, Euro","Belgium, Euro","Cyprus, Euro","Germany, Euro","Spain, Euro","Finland, Euro","France, Euro","United Kingdom (GB), UK pound sterling","Greece (GR), Euro","Ireland, Euro","Italy, Euro","Lithuania, Euro","Luxembourg, Euro","Latvia, Euro","Malta, Euro","Netherlands, Euro","Portugal, Euro","Slovenia, Euro","Slovakia, Euro"
2001Sep,5.08,5.14,7.55,4.81,5.14,5.06,4.94,5.02,5.31,5.01,5.2,7.99,4.67,7.58,6.3,4.98,5.17,,8.1
2001Aug,5.1,5.15,7.55,4.82,5.16,5.06,4.95,5.07,5.33,5.01,5.22,8.01,4.81,7.66,6.29,4.98,5.19,,7.99
2001Jul,5.29,5.35,7.69,5.02,5.35,5.27,5.15,5.3,5.51,5.23,5.42,8.46,5.05,7.75,6.17,5.17,5.39,,8.04
2001Jun,5.27,5.33,7.7,5,5.33,5.26,5.15,5.3,5.48,5.23,5.4,8.46,5.15,7.6,6.14,5.17,5.38,,8.05
2001May,5.34,5.38,7.71,5.05,5.36,5.29,5.21,5.21,5.54,5.28,5.45,8.46,5.3,7.54,6.11,5.22,5.42,,8.02
2001Apr,5.16,5.21,7.63,4.83,5.18,5.1,5,5.03,5.39,5.09,5.28,8.5,5.05,7.9,6.11,5.02,5.27,,8
2001Mar,5.01,5.08,7.66,4.67,5.04,4.94,4.84,4.82,5.28,4.92,5.13,8.64,4.93,7.9,6.11,4.83,5.09,,8.09
2001Feb,5.1,5.16,7.68,4.78,5.12,5.02,4.93,4.95,5.35,5.01,5.18,9.77,5.08,7.82,6.11,4.92,5.14,,8.17
2001Jan,5.1,5.16,7.68,4.8,5.08,5.02,4.94,4.94,5.35,5.03,5.18,9.31,5.06,7.64,6.11,4.93,5.16,,8.25
2000Dec,5.21,5.28,,4.89,5.2,5.14,5.04,4.95,5.54,5.14,5.3,,5.21,,,5.03,5.28,,
2000Nov,5.46,5.52,,5.15,5.45,5.4,5.29,5.11,5.87,5.4,5.55,,5.57,,,5.3,5.53,,
2000Oct,5.52,5.58,,5.21,5.5,5.45,5.36,5.2,5.97,5.46,5.58,,5.51,,,5.35,5.58,,
2000Sep,5.57,5.63,,5.26,5.56,5.49,5.42,5.38,6.05,5.52,5.63,,5.57,,,5.41,5.63,,
2000Aug,5.54,5.56,,5.21,5.5,5.43,5.36,5.32,6.04,5.47,5.56,,5.49,,,5.36,5.57,,
2000Jul,5.6,5.6,,5.27,5.53,5.48,5.4,5.24,6.08,5.52,5.59,,5.57,,,5.4,5.61,,
2000Jun,5.52,5.53,,5.19,5.45,5.39,5.32,5.21,6.06,5.43,5.51,,5.38,,,5.31,5.54,,
2000May,5.66,5.69,,5.38,5.63,5.59,5.5,5.41,6.18,5.61,5.67,,5.6,,,5.5,5.68,,
2000Apr,5.49,5.52,,5.22,5.45,5.46,5.33,5.3,6.09,5.46,5.47,,5.42,,,5.38,5.52,,
2000Mar,5.59,5.62,,5.33,5.55,5.5,5.43,5.34,6.24,5.58,5.58,,5.56,,,5.48,5.61,,
2000Feb,5.77,5.79,,5.51,5.73,5.72,5.62,5.63,6.48,5.76,5.73,,5.71,,,5.66,5.78,,
2000Jan,5.75,5.79,,5.54,5.76,5.75,5.66,5.83,6.6,5.8,5.75,,5.65,,,5.67,5.81,,
1999Dec,5.35,5.41,,5.15,5.37,5.37,5.27,5.36,6.39,5.39,5.36,,5.26,,,5.28,5.46,,
1999Nov,5.27,5.3,,5.04,5.28,5.27,5.15,5.23,6.61,5.31,5.25,,5.27,,,5.18,5.36,,
1999Oct,5.53,5.58,,5.29,5.56,5.56,5.43,5.78,7.03,5.57,5.52,,5.54,,,5.45,5.62,,
1999Sep,5.27,5.34,,5.04,5.32,5.32,5.19,5.6,6.64,5.34,5.28,,5.31,,,5.22,5.41,,
1999Aug,5.1,5.18,,4.88,5.17,5.15,5.01,5.31,6.66,5.16,5.13,,5.18,,,5.03,5.22,,
1999Jul,4.87,4.94,,4.68,4.91,4.92,4.81,5.27,6.37,4.94,4.94,,4.87,,,4.82,4.99,,
1999Jun,4.54,4.64,,4.36,4.61,4.58,4.47,5.09,6.02,4.59,4.62,,4.37,,,4.51,4.66,,
1999May,4.21,4.29,,4.01,4.28,4.24,4.16,4.83,5.75,4.18,4.28,,4.16,,,4.19,4.32,,
1999Apr,4.03,4.11,,3.85,4.09,4.07,3.98,4.54,5.85,3.95,4.11,,4.01,,,4,4.13,,
1999Mar,4.16,4.26,,4.04,4.26,4.26,4.13,4.6,5.97,4.19,4.27,,4.17,,,4.14,4.24,,
1999Feb,3.98,4.04,,3.85,4.02,4.04,3.93,4.37,5.96,4.02,4.05,,3.93,,,3.93,4.02,,
1999Jan,3.84,3.9,,3.7,3.88,3.91,3.77,4.2,6.32,3.89,3.92,,3.91,,,3.8,3.9,,
1998Dec,4.05,4.09,,3.86,4.07,4.06,3.91,4.54,7.17,4.02,4,,4.1,,,3.95,4.12,,
1998Nov,4.33,4.33,,4.12,4.41,4.41,4.18,4.93,7.65,4.32,4.38,,4.28,,,4.19,4.43,,
1998Oct,4.3,4.28,,4.06,4.43,4.45,4.17,4.99,8.45,4.35,4.49,,4.3,,,4.14,4.44,,
1998Sep,4.31,4.34,,4.06,4.48,4.45,4.2,5.16,8.25,4.38,4.53,,4.36,,,4.19,4.46,,
1998Aug,4.62,4.66,,4.42,4.74,4.68,4.52,5.63,7.56,4.68,4.79,,4.56,,,4.53,4.76,,
1998Jul,4.83,4.88,,4.68,4.94,4.86,4.78,5.92,7.67,4.93,4.97,,4.84,,,4.76,4.95,,
1998Jun,4.89,4.96,,4.8,5.02,4.95,4.86,5.87,7.74,5.03,5.08,,4.94,,,4.85,5.06,,
1998May,5.03,5.09,,4.96,5.13,5.08,5.01,5.92,7.85,5.14,5.21,,5.06,,,5,5.18,,
1998Apr,4.97,5.03,,4.9,5.06,5.01,4.96,5.88,8.11,5.05,5.15,,4.99,,,4.95,5.17,,
1998Mar,4.97,5.03,,4.9,5.09,5.04,4.95,6.05,9.27,5.08,5.2,,5,,,4.94,5.25,,
1998Feb,5.07,5.11,,4.99,5.24,5.16,5.03,6.1,11.04,5.23,5.38,,5.08,,,5.01,5.32,,
1998Jan,5.19,5.22,,5.11,5.4,5.3,5.11,6.16,11.03,5.35,5.43,,5.21,,,5.07,5.41,,
1997Dec,5.4,5.45,,5.33,5.64,5.58,5.32,6.43,10.48,5.61,5.74,,5.43,,,5.29,5.67,,
1997Nov,5.63,5.68,,5.56,5.96,5.79,5.57,6.7,10.76,5.98,6.13,,5.61,,,5.54,5.96,,
1997Oct,5.62,5.69,,5.58,5.98,5.75,5.59,6.57,9.3,5.99,6.2,,5.6,,,5.57,5.98,,
1997Sep,5.63,5.69,,5.59,6.09,5.83,5.52,6.88,9.43,6.1,6.36,,5.6,,,5.55,6.13,,
1997Aug,5.7,5.75,,5.66,6.31,5.9,5.58,7.17,9.63,6.33,6.66,,5.62,,,5.6,6.35,,
1997Jul,5.61,5.64,,5.56,6.21,5.86,5.47,7.13,9.42,6.26,6.52,,5.57,,,5.49,6.26,,
1997Jun,5.78,5.83,,5.72,6.47,6.09,5.65,7.24,9.15,6.49,7.07,,5.69,,,5.62,6.41,,
1997May,5.79,5.9,,5.76,6.61,6.16,5.69,7.25,8.92,6.54,7.32,,5.59,,,5.69,6.49,,
1997Apr,5.9,6.02,,5.87,6.95,6.36,5.8,7.74,9.33,6.69,7.74,,5.7,,,5.79,6.8,,
1997Mar,5.71,5.85,,5.71,7.03,6.12,5.65,7.55,9.45,6.62,7.87,,5.59,,,5.65,6.87,,
1997Feb,5.58,5.65,,5.55,6.74,5.91,5.46,7.29,10.87,6.32,7.36,,5.45,,,5.47,6.66,,
1997Jan,5.84,5.89,,5.8,6.83,6.14,5.68,7.66,12.29,6.59,7.38,,5.72,,,5.66,6.72,,
1996Dec,5.86,5.9,,5.79,7,6.34,5.74,7.68,12.42,6.61,7.57,,5.81,,,5.72,6.95,,
1996Nov,5.95,6,,5.86,7.34,6.47,5.83,7.69,13.36,6.68,7.69,,5.89,,,5.76,7.17,,
1996Oct,6.06,6.1,,6.01,7.76,6.51,5.97,7.64,14,6.78,8.23,,5.93,,,5.88,7.59,,
1996Sep,6.3,6.45,,6.23,8.43,6.92,6.23,7.95,14.23,7.21,9.17,,6.25,,,6.1,8.32,,
1996Aug,6.41,6.62,,6.3,8.86,7.16,6.34,7.96,14.46,7.43,9.48,,6.35,,,6.24,8.71,,
1996Jul,6.58,6.78,,6.48,8.78,7.07,6.44,8.06,14.61,7.49,9.43,,6.53,,,6.41,8.71,,
1996Jun,6.63,6.78,,6.56,9.11,7.21,6.55,8.2,14.95,7.62,9.57,,6.51,,,6.47,8.88,,
1996May,6.45,6.69,,6.45,9.17,7.36,6.46,8.23,14.87,7.5,9.7,,6.47,,,6.35,8.97,,
1996Apr,6.43,6.67,,6.38,9.33,7.47,6.5,8.21,14.8,7.61,10.34,,6.58,,,6.35,9.06,,
1996Mar,6.55,6.84,,6.44,9.89,7.71,6.64,8.2,14.9,7.82,10.69,,6.68,,,6.45,9.46,,
1996Feb,6.44,6.64,,6.2,9.71,7.67,6.59,7.9,15.3,7.49,10.52,,6.44,,,6.21,9.45,,
1996Jan,6.21,6.44,,5.89,9.46,7.03,6.44,7.55,15.3,7.23,10.43,,6.42,,,5.87,9.44,,
1995Dec,6.47,6.7,,6.07,9.95,7.38,6.75,7.59,15.35,7.38,11.17,,6.69,,,6.09,10.03,,
1995Nov,6.76,6.8,,6.34,10.54,7.52,7.03,7.97,15.4,7.63,11.63,,6.77,,,6.35,10.74,,
1995Oct,6.96,7.06,,6.57,10.89,7.95,7.48,8.24,15.56,7.99,11.96,,6.84,,,6.59,11.22,,
1995Sep,6.88,7.04,,6.59,10.8,7.98,7.35,8.07,15.72,7.96,11.54,,6.9,,,6.58,11.15,,
1995Aug,7,7.19,,6.74,10.97,8.34,7.33,8.26,16.19,8.15,11.66,,7.09,,,6.74,11.31,,
1995Jul,7.11,7.33,,6.86,11.33,8.74,7.43,8.39,16.72,8.39,12.21,,7.1,,,6.85,11.69,,
1995Jun,7.05,7.33,,6.78,11.54,8.7,7.45,8.24,17.24,8.26,12.38,,7.11,,,6.83,11.89,,
1995May,7.13,7.59,,6.86,11.41,8.84,7.52,8.28,17.58,8.34,12.3,,7.39,,,6.92,11.92,,
1995Apr,7.37,7.85,,7.09,12.09,9.42,7.82,8.55,18,8.7,13.41,,7.53,,,7.17,12.17,,
1995Mar,7.51,8.16,,7.28,12.26,10.18,8.02,8.7,18.25,8.8,13.45,,7.73,,,7.42,11.98,,
1995Feb,7.65,8.27,,7.42,11.6,10.22,8.01,8.76,18.5,8.67,12.39,,7.83,,,7.54,11.71,,
1995Jan,7.72,8.45,,7.6,11.86,10.24,8.23,8.84,19,8.79,12.37,,7.78,,,7.71,11.79,,
1994Dec,7.63,8.3,,7.46,11.38,10.21,8.02,8.7,19,8.57,12.2,,7.74,,,7.59,11.6,,
1994Nov,7.72,8.35,,7.49,11.17,10.23,8.14,8.75,19.83,8.51,12.02,,7.85,,,7.54,11.51,,
1994Oct,7.69,8.45,,7.54,11.14,10.08,8.19,8.88,20.67,8.68,12.07,,7.96,,,7.55,11.59,,
1994Sep,7.57,8.58,,7.52,11.22,10.53,8.1,8.99,21.5,8.82,11.94,,7.32,,,7.49,11.75,,
1994Aug,7.2,8.21,,7.09,10.68,10.59,7.61,8.69,21.5,8.43,11.46,,7.08,,,7.12,11.42,,
1994Jul,7.12,7.95,,6.9,10.59,9.89,7.4,8.54,21.13,8.34,10.77,,7.13,,,6.91,11.34,,
1994Jun,7.41,7.98,,7.05,10.28,9.53,7.49,8.72,20.75,8.5,10.48,,7.15,,,7.11,10.84,,
1994May,6.97,7.54,,6.66,9.55,8.52,6.97,8.29,20.38,7.96,9.37,,7.11,,,6.75,9.96,,
1994Apr,6.67,7.29,,6.48,9.07,8.29,6.69,7.82,20,7.57,9.05,,6.98,,,6.54,9.26,,
1994Mar,6.45,7.14,,6.34,8.82,7.45,6.37,7.42,20.38,7.07,9.45,,6.72,,,6.29,8.97,,
1994Feb,6.06,6.7,,6.07,8.07,6.58,5.94,6.71,21.25,6.45,8.77,,6.43,,,5.87,8.58,,
1994Jan,5.81,6.52,,5.8,7.98,6.54,5.67,6.32,22,6.15,8.67,,6.33,,,5.61,8.93,,
1993Dec,6.04,6.59,,5.85,8.28,7.03,5.8,6.38,22.25,6.38,8.93,,6.3,,,5.68,9.19,,
1993Nov,6.18,6.92,,5.98,8.56,7.39,6.04,6.88,22.25,6.57,9.33,,6.52,,,5.81,9.39,,
1993Oct,6.26,7.19,,6,8.69,7.67,5.96,6.92,22.25,6.71,9.02,,6.68,,,5.83,9.27,,
1993Sep,6.44,7.22,,6.2,9.09,7.99,6.13,7.02,22.25,7.01,9.47,,,,,5.98,9.74,,
1993Aug,6.6,7.08,,6.41,9.48,7.87,6.31,7.1,22.25,7.11,9.76,,,,,6.18,10.37,,
1993Jul,6.75,7.05,,6.62,10.22,8.6,6.76,7.62,22.88,7.32,11.1,,,,,6.43,10.67,,
1993Jun,6.99,7.23,,6.81,10.56,9.06,6.95,8.01,23.38,7.61,11.67,,,,,6.59,,,
1993May,7.06,7.43,,6.83,11.22,9.46,7.18,8.22,23.88,7.83,12.46,,,,,6.67,,,
1993Apr,6.93,7.44,,6.68,11.49,9.77,7.15,7.97,24.38,8.11,13.11,,,,,6.6,,,
1993Mar,6.86,7.37,,6.66,11.36,9.87,7.33,7.85,24.5,8.62,12.9,,,,,6.56,,,
1993Feb,7.13,7.65,,6.94,11.43,10.27,7.77,8.11,24.5,9.26,13.06,,,,,6.87,,,
1993Jan,7.22,7.57,,7.15,12.16,10.92,7.92,8.48,24.5,9.88,13.43,,,,,7.13,,,
